id_cliente,idade,renda_anual,limite_credito,tempo_relacionamento_meses,utilizacao_limite,utilizacao_limite_v2,n_atrasos_12m,canal_aquisicao,regiao,feature_ruido_1,feature_ruido_2,inadimplente
902406,44.6,43331.63,12765.6,18.8,0.3443,0.3459,0,app,Sul,-0.1971,0,0
905418,55.7,93345.38,18543.49,34.2,0.1319,0.1212,0,app,Sul,-0.814,3,0
900202,36.9,61103.9,19958.69,9.5,0.2947,0.3107,0,indicação,Sudeste,0.5596,3,0
901448,32.4,75955.99,12347.61,30.0,0.4068,0.4219,0,agência,Sudeste,-1.65,0,0
900144,37.5,46840.87,18090.26,44.0,0.0233,0.0228,0,app,Nordeste,1.553,4,0
903996,31.8,83335.22,21905.7,10.5,0.0467,0.0655,1,agência,Sul,1.0837,0,0
905292,37.3,83961.31,21399.99,23.1,0.5175,0.518,0,parceria_varejo,Sudeste,-0.3992,1,0
905182,48.0,104386.14,20620.86,5.3,0.2836,0.2925,0,agência,Sudeste,-1.207,3,0
902067,53.0,75190.43,17056.04,27.5,0.5508,0.5656,0,indicação,Nordeste,-0.8313,4,0
905081,41.7,40518.59,16820.45,3.8,0.1768,0.1822,1,indicação,Norte,-0.1872,3,0
900388,69.6,48754.81,8789.31,4.8,0.2991,0.2732,0,agência,Sudeste,-1.4375,3,0
904959,42.0,22888.61,3500.39,5.0,0.1744,0.1592,0,agência,Sul,-0.006,3,0
900731,34.4,52782.42,20553.53,28.2,0.3689,0.3774,0,agência,Sudeste,0.8782,2,0
900014,40.5,175365.73,67459.62,24.2,0.3952,0.3931,0,app,Nordeste,-1.6491,1,0
902690,49.0,37263.34,6003.26,18.0,0.0793,0.0615,1,evento_promocional,Sudeste,-0.8904,1,0
902810,26.7,76634.51,26595.02,8.1,0.61,0.623,0,parceria_varejo,Sudeste,-0.8061,4,0
905193,55.4,17323.79,5355.44,24.5,0.4928,0.5037,0,indicação,Sudeste,-0.5872,1,0
903312,40.5,21423.45,6383.64,71.7,0.0893,0.0836,0,indicação,Sudeste,0.411,0,0
902889,41.2,155440.09,50244.62,263.1,0.0857,0.1196,1,app,Sudeste,-1.4423,1,0
900557,36.0,44933.04,10837.03,60.7,0.5052,0.5003,0,parceria_varejo,Sudeste,1.1706,4,1
905283,33.3,14499.11,5933.99,25.0,0.5176,0.5308,0,parceria_varejo,Sudeste,1.1089,2,0
900394,41.7,67224.82,14081.86,17.0,0.2529,0.2857,0,indicação,Nordeste,-2.0028,2,0
900134,31.2,29160.03,12348.82,24.0,0.3665,0.3956,0,app,Centro-Oeste,-1.9638,2,0
901121,37.9,63978.8,13254.52,28.7,0.1432,0.1134,0,app,Norte,-0.2175,3,0
902630,36.8,,12665.28,10.2,0.5174,0.5352,0,agência,Sudeste,-2.1203,3,0
903586,30.9,173067.85,55962.11,28.2,0.0236,0.0599,0,evento_promocional,Sul,0.7988,4,0
901669,54.6,43567.32,7460.29,47.0,0.1075,0.1131,1,app,Sudeste,0.6182,3,0
902534,30.8,52493.05,15703.82,38.1,0.1234,0.1388,0,app,Sudeste,0.4021,1,0
903807,25.6,74753.08,20762.94,10.3,0.2814,0.289,2,app,Sudeste,-0.4901,4,1
902247,26.1,99074.44,18983.26,113.4,0.5941,0.5887,0,parceria_varejo,Sul,0.6907,3,0
904672,44.7,94965.11,39410.36,15.1,0.0957,0.0801,1,agência,Sudeste,-0.4746,0,0
900429,32.2,65559.49,26003.17,74.8,0.1045,0.1106,0,indicação,Centro-Oeste,-0.4844,4,0
905258,26.3,51393.85,9588.02,31.6,0.5502,0.5478,0,indicação,Nordeste,0.321,3,0
905567,43.0,48632.47,20363.51,50.4,0.2742,0.2961,0,indicação,Sudeste,-0.9672,0,0
904189,57.5,46153.99,15303.58,127.0,0.1464,0.1499,0,agência,Sudeste,-0.3457,1,0
901398,66.8,38433.97,15718.98,22.3,0.0509,0.0535,0,agência,Centro-Oeste,1.6904,2,0
903388,53.6,44445.68,17675.33,20.1,0.3758,0.3874,0,app,Sudeste,-0.3128,0,0
903652,30.8,73119.68,14615.58,46.3,0.4502,0.4314,0,agência,Sudeste,0.6664,4,0
904018,51.5,58830.17,19742.16,12.3,0.3117,0.3229,1,agência,Sudeste,0.0332,3,0
904487,55.9,172718.67,75942.31,2.2,0.159,0.1368,0,app,Nordeste,1.2763,0,0
905635,37.6,,4742.65,33.3,0.4413,0.4385,0,agência,Sudeste,0.7812,4,0
901299,57.3,33876.09,7490.33,99.9,0.3159,0.3109,0,agência,Sudeste,1.0669,2,0
900675,29.1,39457.65,10436.38,8.8,0.2266,0.2356,0,app,Sul,1.4959,4,0
903412,38.8,66805.57,24627.5,43.2,0.0591,0.0298,1,app,Nordeste,0.0635,2,0
903736,53.3,40980.71,18004.84,42.9,0.1092,0.1075,1,app,Sul,-0.7516,0,0
900660,72.9,,14878.36,93.4,0.6639,0.6759,0,app,Sudeste,0.2708,1,0
900527,18.0,26145.98,4542.29,81.5,0.5081,0.5117,1,app,Sul,-0.944,4,0
902961,30.5,59657.02,12713.99,,0.2185,0.2067,0,app,Nordeste,-1.3156,3,0
900012,27.8,33235.79,5402.42,35.4,0.1584,0.16,0,app,Nordeste,-0.9397,4,0
903981,40.0,99673.48,28854.07,15.4,0.6211,0.6299,0,parceria_varejo,Sudeste,0.8861,1,0
902623,38.4,43682.33,18161.81,16.7,0.6474,0.6332,0,indicação,Sudeste,-0.5868,3,0
903200,45.8,112948.21,49137.21,46.8,0.5799,0.5989,0,app,Sudeste,1.7224,0,0
902553,38.0,,23529.36,76.9,0.0811,0.0761,2,app,Nordeste,0.4151,3,0
901051,54.9,31529.94,12853.24,87.8,0.2827,0.2862,0,indicação,Sudeste,2.0049,0,0
904737,36.7,88647.67,17798.11,,0.4217,0.3975,0,agência,Sudeste,0.6388,1,0
901657,61.5,,13981.72,3.1,0.0504,0.0811,0,agência,Nordeste,0.5548,0,0
904148,43.8,74596.39,21519.55,137.6,0.3112,0.3482,0,app,Sudeste,-0.2728,3,0
905326,47.9,104232.57,37355.56,18.6,0.2722,0.2583,1,indicação,Norte,-0.5617,1,0
904880,46.7,85582.9,23216.42,12.0,0.1193,0.1185,0,app,Sudeste,-0.9385,2,0
905928,23.9,27595.43,5672.83,3.4,0.2569,0.2427,0,agência,Nordeste,0.2576,3,0
904463,40.6,83812.63,27414.36,10.9,0.1313,0.1423,0,app,Sudeste,-0.6439,2,0
905556,32.2,58310.88,20946.17,4.4,0.4919,0.4548,0,app,Sul,-0.0445,2,0
901108,33.8,131030.66,58430.23,2.2,0.1827,0.1907,0,app,Centro-Oeste,-1.0064,1,0
905092,38.8,84562.36,16883.68,145.4,0.3975,0.4221,0,parceria_varejo,Sudeste,-1.4727,3,0
901590,36.1,186215.33,60240.86,55.0,0.378,0.3557,0,app,Sudeste,0.8633,0,0
904203,33.6,46514.61,14623.07,75.1,0.5507,0.5419,0,agência,Centro-Oeste,0.4403,2,0
900206,37.8,107097.68,40528.46,16.9,0.402,0.3963,0,app,Sudeste,0.9521,2,0
902232,53.5,39192.71,7091.13,95.8,0.2827,0.2602,0,app,Sul,0.6243,2,0
904340,31.2,50479.99,22070.32,6.7,0.2431,0.2543,1,agência,Nordeste,0.6181,2,0
900502,45.3,16194.98,6172.72,2.5,0.2279,0.2328,1,app,Nordeste,-0.2247,1,0
904281,48.9,128202.88,47268.39,19.1,0.2351,0.2582,0,app,Sul,0.2701,3,0
901031,43.5,55742.64,15588.3,18.2,0.1762,0.176,1,agência,Sudeste,0.4354,4,0
902224,53.4,64396.73,27511.43,87.2,0.3345,0.3307,0,parceria_varejo,Sudeste,-2.2441,3,0
905949,33.6,94592.07,38091.08,25.1,0.0783,0.084,0,app,Sudeste,-0.3446,0,0
902188,38.7,20740.79,5055.46,42.8,0.0277,0.0237,0,indicação,Centro-Oeste,0.8606,0,0
905591,40.8,48580.9,14888.13,,0.2007,0.2055,0,indicação,Sudeste,-1.3329,4,0
901452,43.7,56928.49,24357.07,259.9,0.2488,0.2428,0,parceria_varejo,Sudeste,-0.4871,3,1
904204,43.3,43720.99,19393.34,150.3,0.3084,0.3118,0,app,Nordeste,1.3806,3,0
905178,41.1,110086.83,33916.48,60.4,0.1337,0.1637,1,agência,Sudeste,-1.005,0,0
904154,58.3,60078.51,18501.31,9.7,0.1953,0.2026,1,parceria_varejo,Sul,0.3309,2,0
902475,60.4,61478.57,24775.6,98.7,0.3989,0.4148,0,agência,Sudeste,1.4893,1,0
905428,53.2,39345.89,14041.54,39.2,0.0789,0.0583,1,parceria_varejo,Sudeste,-0.1716,1,0
905804,40.4,114094.24,38833.81,4.9,0.2336,0.213,2,app,Sudeste,0.6259,4,0
905413,18.0,55337.88,13044.2,17.4,0.1355,0.1253,0,agência,Sul,-0.2728,2,0
900170,32.9,53765.2,8544.36,1.0,0.5536,0.5665,0,parceria_varejo,Nordeste,0.7041,4,0
901982,32.9,60100.78,9958.83,10.2,0.5256,0.5197,1,app,Nordeste,-0.4624,3,1
902103,39.0,26239.97,10276.43,54.7,0.4758,0.4803,0,app,Nordeste,-0.1714,2,0
903359,52.9,39254.12,79924.0510518959,12.9,0.4996,0.4624,1,agência,Nordeste,0.5428,2,1
901493,45.6,35896.32,10263.38,58.4,0.3912,0.3925,0,parceria_varejo,Sul,0.3995,1,0
905382,40.1,91718.64,32898.19,13.8,0.3684,0.3585,0,app,Nordeste,1.0858,0,0
905931,32.7,88609.73,27068.22,103.0,0.3791,0.3998,0,app,Sudeste,-0.041,2,0
901116,48.4,27664.25,12237.32,5.5,0.395,0.3935,0,agência,Sudeste,-1.3977,1,0
901511,37.5,34485.69,11828.09,122.7,0.4479,0.41,0,indicação,Sudeste,0.6225,0,0
902762,41.2,146883.21,58050.52,4.3,0.2363,0.2156,2,agência,Sul,-1.0219,1,0
905653,31.6,82874.08,31222.95,34.2,0.1198,0.1105,0,agência,Sudeste,0.1872,2,0
901362,48.7,45640.37,8224.42,34.0,0.1003,0.1239,0,agência,Nordeste,0.0678,4,0
904766,36.2,53678.14,9914.52,39.1,0.3773,0.4108,0,app,Sudeste,-0.8062,3,0
905059,47.6,50678.8,9711.09,,0.1985,0.2096,0,app,Nordeste,-0.2492,1,0
900287,43.8,21821.43,3553.13,64.3,0.2108,0.2393,0,agência,Sudeste,-1.0146,4,0
901328,47.7,22614.57,3599.44,75.5,0.2587,0.2811,0,agência,Nordeste,-0.3434,0,0
904960,52.8,25783.22,4721.81,1.6,0.2113,0.2417,0,agência,Nordeste,0.0951,2,0
905260,23.2,24605.38,10923.41,54.5,0.1315,0.1265,0,app,Sul,-0.3697,4,0
901526,41.7,118999.61,30738.15,34.8,0.4657,0.4507,0,agência,Sudeste,0.176,1,0
900980,45.9,35455.73,11989.88,,0.3468,0.377,1,agência,Sul,0.6508,1,0
903194,41.8,18194.8,5642.85,87.3,0.0795,0.0906,1,app,Sudeste,-0.1322,4,0
900751,51.7,49838.29,7806.07,7.1,0.4682,0.4748,0,agência,Nordeste,0.466,1,0
900214,64.5,24787.46,5419.74,106.1,0.1171,0.1095,1,parceria_varejo,Sudeste,0.5631,4,0
901267,42.2,23749.27,7883.56,27.1,0.2495,0.2633,0,app,Nordeste,-0.5991,4,0
903311,46.0,91625.58,37641.34,22.7,0.3722,0.3937,0,agência,Sudeste,-0.2471,4,0
900142,56.8,42809.77,16363.35,,0.4585,0.4237,1,agência,Sudeste,0.979,0,0
902888,42.9,65469.3,20596.07,11.5,0.2571,0.2447,0,app,Nordeste,-0.686,3,0
905915,18.5,77372.1,13578.07,4.0,0.4671,0.4647,0,app,Sudeste,0.2363,0,0
905751,24.1,36072.01,6550.06,1.0,0.1602,0.1798,1,app,Sudeste,1.0583,0,0
905317,57.0,93544.11,39805.35,,0.2669,0.2843,0,agência,Sudeste,0.7688,3,0
904755,38.1,21408.67,8352.49,43.6,0.2696,0.2994,0,app,Sul,0.1285,2,0
904230,18.0,,9329.25,33.2,0.1636,0.1654,0,app,Centro-Oeste,1.6096,1,0
904987,38.6,39344.3,9593.63,54.8,0.2852,0.2722,0,app,Sul,1.4194,0,0
905765,19.1,62826.64,24459.16,12.1,0.226,0.2601,0,app,Centro-Oeste,0.8172,0,0
904077,24.5,94562.44,31609.12,30.7,0.2178,0.2157,0,agência,Sul,-1.0843,2,0
903883,53.9,47349.07,18663.62,7.2,0.3461,0.3706,0,indicação,Centro-Oeste,-1.4656,3,0
901607,46.0,66676.56,17316.88,42.7,0.6303,0.6256,1,app,Sudeste,-0.8643,1,0
904714,54.3,54067.37,22008.73,11.4,0.408,0.3642,0,app,Sudeste,1.466,1,0
902102,38.5,58228.42,19390.55,48.4,0.4386,0.4327,1,app,Nordeste,-0.1091,0,1
904364,48.5,114162.41,45510.03,,0.1249,0.1067,1,agência,Sudeste,-0.9001,0,0
905546,53.8,79544.46,20877.4,,0.3135,0.3107,0,agência,Sudeste,1.8492,0,0
901644,44.0,64879.09,24766.86,46.6,0.3926,0.3898,0,evento_promocional,Centro-Oeste,0.171,1,1
904886,40.4,30857.77,8638.4,10.2,0.1714,0.1696,0,agência,Sudeste,0.5535,4,0
903552,18.0,64613.56,27874.59,57.7,0.1481,0.1236,0,app,Sudeste,1.7486,3,0
902916,52.2,55313.85,22660.78,78.2,0.3295,0.3499,0,agência,Sudeste,-1.3388,3,0
902118,37.3,68736.04,14016.27,8.1,0.1654,0.1419,0,parceria_varejo,Norte,0.3464,3,0
904836,23.8,23367.43,6944.08,85.6,0.1901,0.2026,0,app,Sudeste,2.4136,0,0
901687,31.2,52086.82,9368.31,55.9,0.4205,0.452,1,indicação,Nordeste,-0.5428,1,0
900634,55.9,72403.6,12667.84,1.0,0.0948,0.0574,1,app,Sul,1.0025,4,0
901001,30.7,46426.19,18888.14,9.6,0.3977,0.4111,0,agência,Sudeste,-0.8395,0,0
905000,28.5,81684.5,23476.45,1.7,0.3702,0.364,1,agência,Centro-Oeste,-2.477,0,0
902402,54.7,67110.77,19153.34,11.6,0.3377,0.3316,0,agência,Sul,-0.3482,2,0
902678,23.6,18129.82,7720.13,8.6,0.2996,0.3346,1,parceria_varejo,Sudeste,2.109,0,0
902909,40.8,28463.79,5172.82,35.2,0.2266,0.216,0,indicação,Norte,1.7634,1,0
900257,52.1,47643.85,10428.28,,0.4806,0.4937,0,indicação,Sudeste,0.053,4,1
904045,43.9,26880.78,10785.22,91.0,0.4012,0.4089,0,app,Nordeste,-0.2982,2,0
905082,35.1,121424.59,46808.75,2.5,0.0797,0.0922,1,agência,Sudeste,0.638,2,0
903616,41.4,40444.77,14248.85,27.5,0.3931,0.4153,1,app,Norte,-0.2513,3,0
902980,32.5,32424.92,4970.37,4.3,0.5968,0.5751,0,app,Sudeste,0.3801,1,0
904407,37.9,44567.12,15129.34,,0.0769,0.0871,0,app,Centro-Oeste,-0.7016,1,0
904035,42.8,59129.49,23900.32,226.2,0.1109,0.0969,0,agência,Nordeste,0.0083,1,0
903776,29.4,25703.45,5774.44,136.3,0.1209,0.1079,0,app,Nordeste,1.2502,1,0
903764,36.8,43405.27,13190.85,118.2,0.1222,0.1231,1,agência,Sudeste,0.2058,2,0
901303,50.7,76425.76,16404.74,36.2,0.3744,0.399,0,parceria_varejo,Sudeste,-0.7066,0,0
901940,22.6,49649.79,16962.18,69.2,0.0979,0.0734,1,app,Sudeste,-0.1643,0,0
903609,38.8,121432.97,28204.49,79.4,0.4286,0.4191,0,agência,Sudeste,-0.5813,2,0
903619,27.5,44800.57,11968.01,59.7,0.088,0.0913,0,agência,Norte,0.5588,2,0
905216,45.3,76422.44,20896.67,50.2,0.3856,0.4205,1,app,Nordeste,0.853,0,0
905555,24.5,71937.93,79698.23253135738,22.7,0.4978,0.4954,0,agência,Nordeste,-0.7187,0,0
902760,48.4,88501.51,27417.73,1.0,0.1422,0.1138,1,evento_promocional,Sudeste,0.3881,3,0
902859,29.4,35334.21,8738.61,15.2,0.7615,0.7521,0,app,Centro-Oeste,1.3981,0,0
904641,46.4,100599.97,40101.46,82.8,0.1046,0.1278,0,app,Nordeste,0.5945,0,0
905613,50.2,32331.78,12354.74,160.8,0.2071,0.1956,0,agência,Nordeste,-0.3053,1,0
901830,24.8,43604.09,7388.86,7.0,0.2526,0.2388,2,app,Sul,-0.9655,1,0
901327,35.5,56688.76,13517.11,70.6,0.4594,0.4793,0,app,Sudeste,0.6269,4,0
901737,51.3,30687.85,11563.84,72.8,0.2776,0.2795,0,parceria_varejo,Nordeste,1.6265,1,0
901990,32.2,62996.9,15083.51,,0.2612,0.2542,0,app,Norte,0.4533,3,0
904314,43.8,46324.98,16822.97,96.5,0.2119,0.1937,0,parceria_varejo,Norte,0.4153,3,0
905763,38.1,56707.79,25120.3,10.7,0.3378,0.3499,1,app,Centro-Oeste,0.1069,3,0
902249,18.0,61240.62,23037.37,49.4,0.1487,0.1504,0,agência,Sudeste,-0.552,4,0
902829,42.7,37833.74,11024.66,16.5,0.1757,0.1402,0,indicação,Nordeste,1.0769,2,0
905838,38.1,23154.42,7806.37,3.2,0.1947,0.1752,0,app,Centro-Oeste,-1.7743,0,1
903240,58.1,30858.75,13115.39,44.2,0.2134,0.2187,0,app,Sul,-0.4938,3,0
903639,30.1,29732.41,4651.95,60.1,0.2397,0.2646,0,agência,Nordeste,-0.7504,4,0
903888,42.4,39287.76,11731.86,8.1,0.1062,0.1209,1,app,Sudeste,0.5111,4,0
900533,23.0,45198.72,19285.8,4.2,0.3865,0.3747,0,app,Sudeste,-0.6802,1,0
900015,48.9,31607.71,10562.04,,0.3407,0.3295,1,indicação,Sudeste,0.2773,1,0
901748,49.1,67159.16,25833.33,20.1,0.0841,0.0865,0,app,Centro-Oeste,0.4516,0,0
900828,24.6,135160.23,37198.9,7.1,0.2788,0.2697,1,app,Nordeste,0.1652,2,0
901091,47.9,34778.32,12550.16,13.4,0.4301,0.4129,0,indicação,Sudeste,-0.3362,3,0
904032,42.6,134092.78,36290.48,11.7,0.2449,0.2392,1,app,Sul,-0.7447,4,0
905921,60.6,,10095.91,5.3,0.3149,0.2956,1,app,Centro-Oeste,-1.1668,2,0
903325,36.2,39791.43,12279.87,36.0,0.0291,0.0311,0,app,Sul,0.506,3,0
902705,49.1,78419.26,29766.11,31.1,0.4321,0.447,0,agência,Centro-Oeste,0.158,1,0
903526,41.4,81837.55,17221.99,11.4,0.0278,0.0344,1,indicação,Sudeste,0.9396,0,0
904689,62.6,28724.43,11807.05,54.8,0.3238,0.2953,1,app,Sudeste,0.4524,3,0
902278,37.3,69709.99,22906.71,1.8,0.1125,0.1204,0,parceria_varejo,Sul,1.2837,3,0
904294,29.3,27511.54,10821.47,38.2,0.163,0.1395,0,agência,Norte,-1.2877,0,0
902455,47.0,47712.82,17789.15,87.9,0.3184,0.3292,0,agência,Sudeste,-0.028,1,0
904727,39.1,41554.22,17633.14,14.2,0.7093,0.7149,0,indicação,Sul,0.1262,0,0
902332,53.8,28334.65,9021.39,76.0,0.3181,0.3222,1,app,Sudeste,0.8891,0,0
904338,34.4,16082.9,2531.0,32.0,0.225,0.2307,0,parceria_varejo,Sudeste,-1.515,0,0
901045,43.1,38700.07,12230.29,51.7,0.2635,0.2653,0,app,Centro-Oeste,-1.9377,1,0
903539,33.0,125819.66,23541.96,,0.1607,0.1467,0,agência,Sudeste,0.1907,2,0
901431,39.3,69044.13,25402.62,50.4,0.5524,0.5744,0,indicação,Sudeste,1.2938,4,1
901969,44.0,47064.29,14049.09,21.0,0.3752,0.371,1,agência,Nordeste,-0.8276,0,0
900977,46.7,16317.31,2701.18,1.6,0.4219,0.4441,1,app,Sul,0.0056,2,0
905919,47.4,58015.14,19359.67,35.4,0.4123,0.4004,1,agência,Sul,-0.1267,0,0
902795,38.4,31643.95,6202.27,3.1,0.2099,0.2206,0,app,Nordeste,-2.6473,2,0
905104,23.4,44622.7,11698.15,24.5,0.0753,0.0492,1,agência,Sudeste,2.309,1,0
903177,18.0,139289.3,56562.45,13.2,0.464,0.4814,0,app,Sudeste,0.8878,4,0
901750,19.7,63605.55,22908.95,77.5,0.197,0.1882,0,indicação,Sudeste,-1.5413,4,0
900812,22.2,72351.38,15074.8,19.8,0.4871,0.4979,0,agência,Nordeste,0.0486,2,0
905802,62.1,38196.53,8416.22,55.3,0.2969,0.2998,0,agência,Sul,-0.3674,3,0
905266,50.1,25129.98,9201.15,60.0,0.2403,0.1867,0,app,Nordeste,0.8507,3,0
901495,46.4,108295.92,29706.0,94.1,0.3538,0.3308,1,agência,Sul,0.8537,0,0
902241,36.6,53859.04,17652.41,9.4,0.1512,0.1641,0,agência,Centro-Oeste,2.4065,1,0
904482,32.9,60125.04,16254.86,6.8,0.1861,0.2011,0,indicação,Sudeste,0.5973,0,0
900535,33.2,80859.29,19692.41,26.0,0.2802,0.2761,0,indicação,Sul,2.245,4,0
902643,37.4,39410.88,10938.02,1.9,0.2277,0.2437,0,app,Nordeste,0.5386,3,0
904732,50.4,133797.97,23414.92,130.7,0.4532,0.4629,0,agência,Sudeste,1.2247,3,0
904269,34.0,77643.15,14508.1,132.0,0.3311,0.298,0,indicação,Nordeste,0.963,4,0
903487,39.6,120165.06,49026.86,4.0,0.1352,0.1226,0,indicação,Centro-Oeste,0.426,0,0
903126,38.3,26032.5,8252.98,47.4,0.2065,0.1969,1,app,Nordeste,0.2748,2,0
901933,59.1,115493.86,46343.86,12.1,0.3541,0.3437,0,app,Sudeste,0.9498,2,0
901192,28.0,39805.66,7017.24,29.5,0.2402,0.2542,0,agência,Sudeste,0.1377,4,0
901843,30.4,17082.73,2727.75,22.3,0.5438,0.5159,0,indicação,Sudeste,3.5208,3,0
902588,52.2,51778.65,12732.74,15.6,0.2575,0.2643,0,agência,Nordeste,0.1376,2,0
904779,35.3,35239.64,12759.62,10.9,0.168,0.1725,0,agência,Sudeste,0.5286,1,0
903677,44.3,29871.88,10400.41,27.0,0.2258,0.2022,0,app,Sudeste,1.1234,2,0
902272,40.0,61770.85,27033.87,112.1,0.6727,0.6673,0,app,Sudeste,-0.4533,1,0
905171,48.8,39708.95,6272.92,3.7,0.3895,0.3674,1,agência,Sudeste,-0.5979,2,0
900143,22.0,27024.49,6408.78,17.5,0.2769,0.2666,0,agência,Sudeste,-0.354,2,0
902453,38.5,43519.9,13315.62,38.5,0.2929,0.2737,0,parceria_varejo,Sul,-0.3932,0,0
902244,35.6,25609.6,10853.54,65.9,0.3775,0.3748,0,agência,Sudeste,-0.7919,0,0
902477,36.3,22293.98,7090.98,9.8,0.3675,0.3751,0,agência,Sul,-1.1495,1,0
904190,46.8,39222.29,7326.0,2.0,0.1994,0.1902,0,app,Sudeste,0.7454,4,0
900962,47.5,72395.58,20789.65,7.9,0.3599,0.3508,0,app,Sul,-0.5541,0,0
901540,35.7,41537.25,6613.4,58.7,0.5606,0.5811,0,agência,Sudeste,2.1222,4,0
900464,56.5,69733.14,26955.36,71.2,0.1313,0.1302,0,agência,Nordeste,-1.0134,2,0
903145,21.2,42215.65,11266.06,,0.4647,0.4577,1,app,Nordeste,-0.4634,1,0
902204,43.0,64633.16,20284.88,1.0,0.3201,0.3677,0,app,Nordeste,0.5415,1,0
903031,46.4,98103.01,29919.31,39.3,0.1565,0.1613,0,app,Nordeste,-0.2974,3,0
900882,19.8,95811.49,37908.87,,0.7315,0.7143,1,app,Sudeste,-2.7222,1,0
900311,33.1,56760.37,21534.95,25.8,0.3521,0.3587,0,indicação,Nordeste,0.1738,1,0
901095,46.9,44236.52,17918.03,40.3,0.2043,0.2069,0,agência,Sudeste,1.2244,4,0
903286,48.1,41299.08,15848.07,43.0,0.5222,0.5334,0,indicação,Sudeste,-1.0561,0,0
900843,28.2,,12392.96,45.6,0.0529,0.0519,1,agência,Sudeste,0.5223,4,0
902243,25.2,67933.14,28371.96,165.8,0.1008,0.1004,0,app,Sudeste,0.6924,2,0
902382,59.9,55977.95,8976.57,46.7,0.2837,0.2892,1,parceria_varejo,Norte,-2.4776,1,0
900098,45.1,34966.68,11558.6,22.6,0.3638,0.3914,0,agência,Sul,0.3593,0,0
